time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.730025,-0.057146,0.024753,-0.048791,-0.091820
1.735025,-0.057396,0.024186,-0.050903,-0.098805
1.740025,-0.057657,0.023778,-0.053117,-0.101760
1.745026,-0.057930,0.023152,-0.055445,-0.110587
1.750026,-0.058214,0.022691,-0.057839,-0.119400
1.755026,-0.058511,0.021957,-0.060250,-0.127863
1.760026,-0.058819,0.021400,-0.062594,-0.136739
1.765026,-0.059139,0.020571,-0.064850,-0.140715
1.770027,-0.059469,0.020067,-0.066909,-0.140449
1.775027,-0.059810,0.019219,-0.068733,-0.147307
1.780027,-0.060158,0.018667,-0.070298,-0.150067
1.785027,-0.060513,0.017756,-0.071578,-0.155899
1.790028,-0.060874,0.017345,-0.072550,-0.153243
1.795028,-0.061239,0.016412,-0.073216,-0.160396
1.800028,-0.061607,0.015590,-0.073557,-0.169388
1.805028,-0.061974,0.030222,-0.073578,-0.115233
1.810029,-0.062342,0.029459,-0.073314,-0.111785
1.815029,-0.062707,0.028775,-0.072845,-0.118668
1.820029,-0.063069,0.028266,-0.072252,-0.121902
1.825029,-0.063429,0.027538,-0.071634,-0.121649
1.830029,-0.063785,0.026996,-0.071077,-0.121248
1.835030,-0.064139,0.026266,-0.070649,-0.124661
1.840030,-0.064492,0.025786,-0.070400,-0.131871
1.845030,-0.064843,0.024986,-0.070362,-0.137177
1.850030,-0.065196,0.024404,-0.070544,-0.144203
1.855031,-0.065550,0.023534,-0.070935,-0.147200
1.860031,-0.065906,0.023011,-0.071478,-0.146322
1.865031,-0.066265,0.022116,-0.072105,-0.153450
1.870031,-0.066628,0.021422,-0.072744,-0.161764
1.875032,-0.066993,0.020444,-0.073323,-0.165578
1.880032,-0.067361,0.019571,-0.073761,-0.179120
1.885032,-0.067731,0.018498,-0.073982,-0.180578
1.890032,-0.068100,0.017553,-0.073927,-0.191165
1.895033,-0.068469,0.016397,-0.073535,-0.196212
1.900033,-0.068835,0.015527,-0.072740,-0.199537
1.905033,-0.069195,0.021380,-0.071504,-0.172190
1.910033,-0.069547,0.020225,-0.069825,-0.160826
1.915033,-0.069890,0.019253,-0.067772,-0.163465
1.920034,-0.070222,0.018633,-0.065431,-0.164264
1.925034,-0.070542,0.017646,-0.062847,-0.164636
1.930034,-0.070848,0.016974,-0.060082,-0.164564
1.935034,-0.071140,0.015987,-0.057200,-0.165537
1.940035,-0.071417,0.015325,-0.054215,-0.164193
1.945035,-0.071679,0.014330,-0.051143,-0.165942
1.950035,-0.071925,0.013690,-0.048022,-0.165616
1.955035,-0.072155,0.012691,-0.044775,-0.167184
1.960036,-0.072369,0.011918,-0.041430,-0.177275
1.965036,-0.072566,0.010849,-0.038026,-0.179123
1.970036,-0.072746,0.010045,-0.034494,-0.182477
1.975036,-0.072908,0.008949,-0.030892,-0.183722
1.980036,-0.073051,0.007926,-0.027207,-0.193790
1.985037,-0.073176,0.006762,-0.023424,-0.196477
1.990037,-0.073281,0.006383,-0.019458,-0.182115
1.995037,-0.073366,0.005292,-0.015337,-0.182492
2.000037,-0.073430,0.004194,-0.011093,-0.190752
2.005037,-0.073472,0.012730,-0.006523,-0.170111
2.010037,-0.073490,0.012413,-0.001550,-0.177803
2.015036,-0.073482,0.011350,0.003720,-0.175099
2.020036,-0.073447,0.010556,0.009261,-0.171011
2.025036,-0.073383,0.009545,0.015010,-0.164163
2.030035,-0.073291,0.008894,0.020813,-0.164607
2.035035,-0.073169,0.007915,0.026644,-0.161491
2.040035,-0.073019,0.007270,0.032390,-0.164232
2.045034,-0.072840,0.006288,0.038091,-0.162650
2.050034,-0.072632,0.005654,0.043721,-0.158189
2.055033,-0.072397,0.004722,0.049393,-0.152226
2.060033,-0.072133,0.004075,0.055061,-0.153370
2.065033,-0.071840,0.003158,0.060727,-0.150620
2.070032,-0.071520,0.002779,0.066374,-0.139719
2.075032,-0.071171,0.001943,0.072121,-0.138127
2.080032,-0.070793,0.001551,0.077924,-0.128522
2.085031,-0.070385,0.000783,0.083904,-0.124951
2.090031,-0.069948,0.000109,0.089975,-0.127923
2.095031,-0.069479,-0.000657,0.096136,-0.128328
2.100030,-0.068980,-0.000952,0.102283,-0.119708
2.105030,-0.068450,0.022388,0.108722,0.039186
2.110029,-0.067886,0.022515,0.115286,0.042031
2.115029,-0.067291,0.022778,0.121457,0.046339
2.120029,-0.066667,0.023097,0.127044,0.042737
2.125028,-0.066017,0.023362,0.131887,0.044880
2.130028,-0.065345,0.023547,0.135866,0.043493
2.135028,-0.064656,0.023806,0.138990,0.041678
2.140027,-0.063954,0.023936,0.141098,0.052274
2.145027,-0.063245,0.024255,0.142181,0.053412
2.150027,-0.062534,0.024510,0.142254,0.057021
2.155026,-0.061825,0.024839,0.141353,0.050471
2.160026,-0.061123,0.025039,0.139524,0.045416
2.165025,-0.060433,0.025299,0.136813,0.039469
2.170025,-0.059759,0.025739,0.133323,0.047441
2.175025,-0.059105,0.026013,0.129128,0.039807
2.180024,-0.058474,0.025841,0.124304,0.021613
2.185024,-0.057868,0.025941,0.118952,0.008231
2.190024,-0.057290,0.025798,0.113179,-0.005002
2.195023,-0.056743,0.025743,0.107088,-0.018122
2.200023,-0.056226,0.026109,0.100694,-0.015144
2.205023,-0.055743,0.044221,0.093819,0.023545
2.210022,-0.055296,0.044093,0.086552,0.020196
2.215022,-0.054886,0.044197,0.079022,0.010902
2.220021,-0.054513,0.044300,0.071319,0.001017
2.225021,-0.054181,0.044289,0.063365,-0.008395
2.230021,-0.053889,0.044102,0.055058,-0.005085
2.235020,-0.053639,0.044054,0.046424,-0.015909
2.240020,-0.053434,0.044004,0.037400,-0.028480
2.245020,-0.053275,0.043808,0.028048,-0.042064
2.250019,-0.053163,0.043664,0.018374,-0.042051
2.255019,-0.053102,0.043382,0.008334,-0.057835
2.260019,-0.053091,0.043316,-0.001914,-0.052223
2.265018,-0.053131,0.042981,-0.012310,-0.062551
2.270018,-0.053224,0.042700,-0.022799,-0.072401
2.275017,-0.053370,0.042252,-0.033427,-0.080856
2.280017,-0.053569,0.041709,-0.044095,-0.095868
2.285017,-0.053822,0.041105,-0.054774,-0.110464
2.290016,-0.054128,0.040552,-0.065414,-0.121929
2.295016,-0.054487,0.039799,-0.076042,-0.132767
2.300016,-0.054898,0.039426,-0.086519,-0.135706
2.305015,-0.055363,0.046688,-0.097161,-0.119580
2.310015,-0.055881,0.046599,-0.107916,-0.136238
